sl_no,ministry,sector,project_name,agency,project_id,legacy_ocms_code,pmgid,state,approval_date_mm_yyyy,start_date_mm_yyyy,original_target_doc_mm_yyyy,revised_target_doc_mm_yyyy,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_percent,report_month,source_pdf_page,source_file,snapshot_date,anticipated_target_doc_mm_yyyy,anticipated_cost_crore,clean_project_id,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,burn_rate_pct,burn_progress_gap,cost_variation_pct,time_elapsed_ratio,delay_months_actual,is_delayed,is_cost_overrun
686,Ministry of Railways,Railways,Ramganjmandi-Bhopal New Line Project [262 km],West Central Railway [WCR] - II,705481,,,"Multi-States (Madhya Pradesh, Rajasthan)",03/2001,,10/2004,12/2025,12.0,2027.0,3032.0,5073.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705481,12.0,2027.0,3032.0,100.0,149.580661075481,49.580661075481004,500.0,1.1,254.0,1,1
687,Ministry of Railways,Railways,Nimach-Badi Sadri  New Rail Line Project,Western Railway [WR] - II,705764,,,"Multi-States (Madhya Pradesh, Rajasthan)",04/2017,,09/2021,03/2026,6.0,2026.0,495.0,825.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705764,6.0,2026.0,495.0,100.0,24.432379072063178,-75.56762092793682,500.0,1.1,54.0,1,1
823,"Department of Water Resources, River Development & GR",Waste & Water,Jamrani Dam Multipurpose Project,Irrigation-UK,613787,,,Uttarakhand,10/2023,,11/2023,06/2029,2584.1,2584.1,968.52,16.0,November 2025,72.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,613787,2584.1,2584.1,968.52,16.0,37.4799736852289,21.4799736852289,0.0,0.26,67.0,1,0
710,Ministry of Railways,Railways,Khurda Road - Balangir Electrification of Railway Track Project,Ministry of Railways,706898,,,Odisha,09/2018,,09/2019,03/2021,267.61,267.61,0.0,0.0,November 2025,68.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,706898,267.61,267.61,0.0,0.0,0.0,0.0,0.0,0.1,18.0,1,0
709,Ministry of Railways,Railways,Jeypore-Malkanagiri New Railway Line Project,East Coast Railway [ECoR] - II,705742,,,Odisha,02/2018,,12/2023,07/2033,7.0,2033.0,2344.0,2344.0,November 2025,68.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705742,7.0,2033.0,2344.0,100.0,115.29758976881456,15.29758976881456,500.0,1.1,115.0,1,1
708,Ministry of Railways,Railways,Jeypore-Navarangpur New  Rail Line Project,East Coast Railway [ECoR] - II,705741,,,Odisha,07/2017,,04/2023,07/2028,12.0,2029.0,748.0,748.0,November 2025,68.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705741,12.0,2029.0,748.0,100.0,36.86545096106457,-63.13454903893543,500.0,1.1,63.0,1,1
707,Ministry of Railways,Railways,3rd & 4th Railway Line Project from Salegaon to Budhapank via Rajathgarh.,East Coast Railway [ECoR] - II,705515,,,Odisha,07/2013,,12/2015,03/2026,3.0,2026.0,1173.0,2092.0,November 2025,68.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705515,3.0,2026.0,1173.0,100.0,57.89733464955577,-42.10266535044423,500.0,1.1,123.0,1,1
706,Ministry of Railways,Railways,Jarapada- Budhapank with flyover at Talcher road 3rd and 4th Line,East Coast Railway [ECoR] - II,705514,,,Odisha,11/2015,,12/2015,11/2018,3.0,2026.0,1000.0,810.02,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705514,3.0,2026.0,1000.0,100.0,49.3583415597236,-50.6416584402764,500.0,1.1,35.0,1,1
705,Ministry of Railways,Railways,Koraput - Singapur Railway Doubling,East Coast Railway [ECoR] - II,705513,,,Odisha,12/2015,,12/2015,12/2027,3.0,2028.0,2362.0,2362.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705513,3.0,2028.0,2362.0,100.0,116.46942800788955,16.469428007889547,500.0,1.1,144.0,1,1
704,Ministry of Railways,Railways,Bhadrak-Nergundi Third Line,East Coast Railway [ECoR] - II,705510,,,Odisha,10/2015,,04/2015,11/2024,1.0,2026.0,1284.0,1284.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705510,1.0,2026.0,1284.0,100.0,63.37611056268509,-36.62388943731491,500.0,1.1,115.0,1,1
703,Ministry of Railways,Railways,Talcher-Bimlagarh New Railway Line,East Coast Railway [ECoR] - II,705359,,,Odisha,03/2004,,12/2004,03/2025,3.0,2027.0,1928.0,1928.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705359,3.0,2027.0,1928.0,100.0,95.11593487913173,-4.8840651208682715,500.0,1.1,243.0,1,1
702,Ministry of Railways,Railways,Khurda-Bolangir New Broad Gauge Rail Link [301km],East Coast Railway [ECoR] - II,705358,,,Odisha,03/1994,,03/2001,12/2026,12.0,2026.0,3792.0,5089.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705358,12.0,2026.0,3792.0,100.0,187.16683119447185,87.16683119447185,500.0,1.1,309.0,1,1
701,Ministry of Railways,Railways,Paradeep - Badabandha 3rd & 4th Line / 18.51kms,East Coast Railway [ECoR] - II,616695,,,Odisha,08/2023,,04/2025,11/2028,300.15,300.15,0.0,0.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,616695,300.15,300.15,0.0,0.0,0.0,0.0,0.0,0.1,43.0,1,0
660,Ministry of Railways,Railways,Jharsuguda-Bilaspur Fourth Railway Line [206 km],SECR,705616,,,"Multi-States (Chhattisgarh, Odisha)",09/2016,,09/2016,10/2024,3.0,2026.0,2140.0,2979.0,November 2025,66.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705616,3.0,2026.0,2140.0,100.0,105.62685093780848,5.626850937808484,500.0,1.1,97.0,1,1
700,Ministry of Railways,Railways,Badampahar-Kendujhargarh new line [82.06 km],CAO/C/SER,616587,,,Odisha,08/2024,,09/2025,12/2029,1875.72,1875.72,1.04,0.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,616587,1875.72,1875.72,1.04,0.0,0.055445375642419976,0.055445375642419976,0.0,0.1,51.0,1,0
698,Ministry of Railways,Railways,3rd & 4th line between Sarla - Sason [8 km] [PB 73/2023-24/NR],East Coast Railway [ECoR] - II,612834,,,Odisha,04/2023,,04/2023,12/2025,252.0,252.0,91.45,65.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,612834,252.0,252.0,91.45,65.0,36.28968253968254,-28.710317460317462,0.0,0.75,32.0,1,0
697,Ministry of Railways,Railways,Brundamal-Jharsuguda- flyover connection for joining downline,East Coast Railway [ECoR] - II,400232,,,Odisha,01/2014,,01/2014,12/2026,12.0,2026.0,297.0,297.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,400232,12.0,2026.0,297.0,100.0,14.659427443237908,-85.3405725567621,500.0,1.1,155.0,1,1
696,Ministry of Railways,Railways,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher Under Deposit Scheme.,East Coast Railway [ECoR] - II,400045,,,Odisha,08/2022,,07/2022,03/2025,1.0,2025.0,168.32,168.32,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,400045,1.0,2025.0,168.32,100.0,8.312098765432099,-91.6879012345679,500.0,1.1,32.0,1,1
695,Ministry of Railways,Railways,"Sainthia, Sitarampur, Mughalsarai, Allahabad & Etawah - Bypass Line Project",Eastern Railway [ER] - I,602797,,,"Multi-States (Uttar Pradesh, West Bengal)",08/2017,,12/2017,03/2027,3.0,2027.0,461.64,461.64,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,602797,3.0,2027.0,461.64,100.0,22.774543660582143,-77.22545633941786,500.0,1.1,111.0,1,1
694,Ministry of Railways,Railways,Sivok-Rangpo New Rail Line,Indian Railway Construction International Limited [IRCON],705432,,,"Multi-States (Sikkim, West Bengal)",10/2009,,05/2010,05/2015,12.0,2027.0,7877.0,11775.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705432,12.0,2027.0,7877.0,100.0,300.0,200.0,500.0,1.1,60.0,1,1
693,Ministry of Railways,Railways,Nagapattinam-Tiruturaipundi and Karaikal-Peralam New Line,Ministry of Railways,400223,,,"Multi-States (Puducherry, Tamil Nadu)",07/2008,,01/2019,03/2027,3.0,2028.0,713.0,981.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,400223,3.0,2028.0,713.0,100.0,35.1577909270217,-64.8422090729783,500.0,1.1,98.0,1,1
692,Ministry of Railways,Railways,Narayangarh-Bhadrak 3rd line,South Eastern Railway [SER] - I,705629,,,"Multi-States (Odisha, West Bengal)",03/2019,,03/2017,12/2025,6.0,2026.0,2400.0,3425.32,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705629,6.0,2026.0,2400.0,100.0,118.46001974333662,18.460019743336616,500.0,1.1,105.0,1,1
691,Ministry of Railways,Railways,Third Line [new] between Kazipet - Balharshah  with electrification [201.04 Km],South Central Railway [SCR] - II,705613,,,"Multi-States (Maharashtra, Telangana)",09/2016,,10/2016,01/2025,11.0,2025.0,2595.0,3071.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705613,11.0,2025.0,2595.0,100.0,128.14814814814815,28.148148148148152,500.0,1.1,99.0,1,1
690,Ministry of Railways,Railways,Jhansi-Khairar-Manikpur & Khirar-Bhimsen,North Central Railway,705608,,,"Multi-States (Madhya Pradesh, Uttar Pradesh)",03/2018,,04/2019,03/2026,3.0,2026.0,4330.0,4330.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705608,3.0,2026.0,4330.0,100.0,213.72161895360318,113.72161895360318,500.0,1.1,83.0,1,1
689,Ministry of Railways,Railways,Jhansi - Bina Third Railway Line [153 Km],CAO/C/NCR,705598,,,"Multi-States (Madhya Pradesh, Uttar Pradesh)",09/2016,,03/2018,03/2022,3.0,2026.0,2002.0,2002.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705598,3.0,2026.0,2002.0,100.0,98.81539980256665,-1.1846001974333547,500.0,1.1,48.0,1,1
688,Ministry of Railways,Railways,Mathura-Jhansi Third Railway Line [274 Km],RVNL - II,705667,,,"Multi-States (Madhya Pradesh, Rajasthan, Uttar Pradesh)",12/2015,,03/2018,12/2024,12.0,2026.0,5961.0,5961.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705667,12.0,2026.0,5961.0,100.0,294.22507403751234,194.22507403751234,500.0,1.1,81.0,1,1
699,Ministry of Railways,Railways,Bangriposi-Gorumahisani new line [ 85.60 km ],CAO/C/SER,616586,,,Odisha,08/2024,,09/2025,12/2029,2269.49,2269.49,4.08,0.0,November 2025,67.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,616586,2269.49,2269.49,4.08,0.0,0.17977607303843599,0.17977607303843599,0.0,0.1,51.0,1,0
822,"Department of Water Resources, River Development & GR",Waste & Water,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,701408,,,Uttar Pradesh,04/2008,,04/2008,12/2019,12.0,2025.0,1060.67,4417.21,November 2025,72.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,701408,12.0,2025.0,1060.67,100.0,52.378765432098774,-47.621234567901226,500.0,1.1,140.0,1,1
659,Ministry of Railways,Railways,Jagdalpur-Koraput,East Coast Railway [ECoR] - II,705511,,,"Multi-States (Chhattisgarh, Odisha)",12/2015,,03/2016,03/2024,12.0,2026.0,1547.0,1547.0,November 2025,66.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705511,12.0,2026.0,1547.0,100.0,76.35735439289239,-23.64264560710761,500.0,1.1,96.0,1,1
657,Ministry of Railways,Railways,Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km],South East Central Railway [SECR] - II,705617,,,"Multi-States (Chhattisgarh, Maharashtra)",09/2016,,12/2016,12/2024,6.0,2026.0,3545.0,3545.0,November 2025,66.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705617,6.0,2026.0,3545.0,100.0,174.97532082922015,74.97532082922015,500.0,1.1,96.0,1,1
628,Ministry of Railways,Railways,Mumbai Urban Transport Project [MUTP]  Phase-IIIA,Mumbai Rail Vikas Corporation Ltd.[MRVC],706780,,,Maharashtra,04/2019,,04/2019,12/2027,12.0,2027.0,33690.0,33690.0,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,706780,12.0,2027.0,33690.0,100.0,300.0,200.0,500.0,1.1,104.0,1,1
627,Ministry of Railways,Railways,Mumbai Urban Transport Project [MUTP] - PHASE II,Mumbai Rail Vikas Corporation Ltd.[MRVC],706779,,,Maharashtra,05/2008,,04/2008,03/2014,12.0,2027.0,8087.0,8087.0,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,706779,12.0,2027.0,8087.0,100.0,300.0,200.0,500.0,1.1,71.0,1,1
626,Ministry of Railways,Railways,Nagpur- Nagbhir Railway Line Gauge Conversion Project,MRIDC,705799,,,Maharashtra,10/2019,,04/2020,12/2025,12.0,2025.0,1400.0,1400.0,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705799,12.0,2025.0,1400.0,100.0,69.1358024691358,-30.864197530864203,500.0,1.1,68.0,1,1
625,Ministry of Railways,Railways,Solapur-tuljapur-Osmanabad,Central Railway,705735,,,Maharashtra,08/2018,,12/2023,03/2027,3.0,2028.0,904.92,3295.74,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705735,3.0,2028.0,904.92,100.0,44.62130177514793,-55.37869822485207,500.0,1.1,39.0,1,1
624,Ministry of Railways,Railways,3rd Line Manmad - Jalgaon [160 Kilometres],Central Railway [CR] - II,705506,,,Maharashtra,05/2017,,04/2018,12/2024,8.0,2025.0,1035.16,1558.75,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705506,8.0,2025.0,1035.16,100.0,51.11901234567902,-48.88098765432098,500.0,1.1,80.0,1,1
623,Ministry of Railways,Railways,4th Line Wardha - Nagpur [78.7 Kilometres],Central Railway [CR] - II,705505,,,Maharashtra,04/2017,,05/2018,12/2025,2.0,2026.0,637.95,1341.28,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705505,2.0,2026.0,637.95,100.0,31.48815399802567,-68.51184600197433,500.0,1.1,91.0,1,1
622,Ministry of Railways,Railways,Doubling of Daund Manmad Line [247.6 km],Central Railway,705504,,,Maharashtra,10/2017,,03/2017,12/2025,3.0,2026.0,2081.27,3267.06,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705504,3.0,2026.0,2081.27,100.0,102.72803553800591,2.728035538005912,500.0,1.1,105.0,1,1
621,Ministry of Railways,Railways,Pune - Miraj-Londa  [467 Kilometres],Central Railway,705503,,,Maharashtra,06/2016,,06/2016,02/2025,8.0,2025.0,4027.53,4872.52,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705503,8.0,2025.0,4027.53,100.0,198.8903703703704,98.89037037037039,500.0,1.1,104.0,1,1
620,Ministry of Railways,Railways,3rd Line Wardha - Ballarshah [132 Kilometres],Central Railway [CR] - II,705502,,,Maharashtra,03/2016,,12/2016,12/2025,2.0,2026.0,1384.72,2033.59,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705502,2.0,2026.0,1384.72,100.0,68.34748272458046,-31.65251727541954,500.0,1.1,108.0,1,1
619,Ministry of Railways,Railways,3rd Line Wardha - Sewagram - Nagpur,Central Railway [CR] - II,705500,,,Maharashtra,09/2015,,05/2016,12/2025,12.0,2025.0,540.02,944.24,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705500,12.0,2025.0,540.02,100.0,26.667654320987655,-73.33234567901235,500.0,1.1,115.0,1,1
618,Ministry of Railways,Railways,3rd Line Kalyan - Kasara [67.35 Kilometres],Central Railway,705498,,,Maharashtra,09/2015,,09/2015,12/2026,12.0,2026.0,792.89,1395.79,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705498,12.0,2026.0,792.89,100.0,39.135735439289235,-60.864264560710765,500.0,1.1,135.0,1,1
617,Ministry of Railways,Railways,Wadsa-Gadchiroli,South East Central Railway,705479,,,Maharashtra,05/2017,,03/2012,03/2027,3.0,2027.0,1886.0,1886.0,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705479,3.0,2027.0,1886.0,100.0,93.04390725209669,-6.956092747903313,500.0,1.1,180.0,1,1
616,Ministry of Railways,Railways,Baramati Lonand New Line Project,Central Railway,705357,,,Maharashtra,03/2016,,03/1999,03/2027,3.0,2027.0,138.48,1843.9,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705357,3.0,2027.0,138.48,100.0,6.831771090281204,-93.16822890971879,500.0,1.1,336.0,1,1
615,Ministry of Railways,Railways,Ahmednagar - Beed - Parli - Vaijnath  New Broad Gauge Line Railway Project [261.3 km],Central Railway [CR] - II,705356,,,Maharashtra,01/1999,,10/2002,03/2026,3.0,2026.0,2538.67,4957.27,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705356,3.0,2026.0,2538.67,100.0,125.30454096742349,25.304540967423492,500.0,1.1,281.0,1,1
614,Ministry of Railways,Railways,Western Region Video Surveillance Project,RCIL,705300,,,Maharashtra,06/2020,,04/2023,12/2023,227.59,227.59,0.0,0.0,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705300,227.59,227.59,0.0,0.0,0.0,0.0,0.0,0.1,8.0,1,0
613,Ministry of Railways,Railways,Double Chord line Between Nilaje-Kopar,CentralRailway,617364,,,Maharashtra,01/2025,,01/2025,07/2028,338.33,205.0,6.39,0.0,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,617364,338.33,205.0,6.39,0.0,3.1170731707317074,3.1170731707317074,-39.40827003221706,0.1,42.0,1,0
612,Ministry of Railways,Railways,Babupeth - Sasti New Rail Line [13.114 KMs],CentralRailway,617361,,,Maharashtra,10/2024,,10/2024,03/2028,362.81,362.81,0.47,0.0,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,617361,362.81,362.81,0.47,0.0,0.12954438962542378,0.12954438962542378,0.0,0.1,41.0,1,0
611,Ministry of Railways,Railways,Doubling between Parbhani  Parli Vaijanath stations  64.71 Km,South Central Railway [SCR] - II,617215,,,Maharashtra,12/2023,,12/2023,03/2028,769.93,769.93,25.4,0.0,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,617215,769.93,769.93,25.4,0.0,3.299001207902017,3.299001207902017,0.0,0.1,51.0,1,0
610,Ministry of Railways,Railways,Gondia-Balharshah [Chanda Fort] Doubling [240 Km],South East Central Railway,617201,,,Maharashtra,04/2025,,04/2025,03/2031,4373.04,4373.04,0.29,0.0,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,617201,4373.04,4373.04,0.29,0.0,0.006631542359548505,0.006631542359548505,0.0,0.1,71.0,1,0
609,Ministry of Railways,Railways,Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of associated infrastructure,Rail Land Development Authority,613015,,,Maharashtra,04/2023,,07/2023,03/2027,1813.0,1813.0,614.86,17.0,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,613015,1813.0,1813.0,614.86,17.0,33.91395477109763,16.91395477109763,0.0,0.27,44.0,1,0
608,Ministry of Railways,Railways,AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km,South Central Railway [SCR] - II,611751,,,Maharashtra,05/2023,,05/2023,03/2027,960.64,960.64,555.02,1.0,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,611751,960.64,960.64,555.02,1.0,57.77606595602931,56.77606595602931,0.0,0.11,46.0,1,0
607,Ministry of Railways,Railways,Wardha-Nanded Via Yavatmal New BG Line,Central Railway [CR] - II,400271,,,Maharashtra,12/2017,,04/2008,03/2025,12.0,2026.0,3445.0,3445.0,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,400271,12.0,2026.0,3445.0,100.0,170.03948667324778,70.03948667324778,500.0,1.1,203.0,1,1
606,Ministry of Railways,Railways,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],Central Railway,400019,,,Maharashtra,01/2019,,04/2023,12/2026,9.0,2027.0,492.76,1170.83,November 2025,64.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,400019,9.0,2027.0,492.76,100.0,24.309817464232854,-75.69018253576715,500.0,1.1,44.0,1,1
629,Ministry of Railways,Railways,Mumbai Urban Transport Project Phase-III,Mumbai Rail Vikas Corporation Ltd.[MRVC],706781,,,Maharashtra,11/2016,,12/2016,03/2022,12.0,2026.0,10947.0,10947.0,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,706781,12.0,2026.0,10947.0,100.0,300.0,200.0,500.0,1.1,63.0,1,1
630,Ministry of Railways,Railways,PACHORA-JAMNER WITH EXTENSION UPTO MALKAPUR NG TO BG,CR,709808,,,Maharashtra,08/2022,,01/2022,08/2027,3.0,2028.0,955.39,2093.82,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,709808,3.0,2028.0,955.39,100.0,47.10996055226824,-52.89003944773176,500.0,1.1,67.0,1,1
631,Ministry of Railways,Railways,Jiribam-Imphal new line project,Northeast Frontier Railway [NFR],705391,,,Manipur,03/2013,,12/2007,12/2026,6.0,2029.0,14323.0,21885.9,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705391,6.0,2029.0,14323.0,100.0,300.0,200.0,500.0,1.1,228.0,1,1
632,Ministry of Railways,Railways,Marikuppam - Kuppam New Line Project [23.70 Km],South Western Railway [SWR] - II,705491,,,"Multi-States (Andhra Pradesh, Karnataka)",04/2012,,10/2018,06/2026,6.0,2026.0,297.0,297.0,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705491,6.0,2026.0,297.0,100.0,14.659427443237908,-85.3405725567621,500.0,1.1,92.0,1,1
656,Ministry of Railways,Railways,Katihar - Kumedpur Doubling Line Project,GM/C/ NFR,706844,,,"Multi-States (Bihar, West Bengal)",08/2022,,08/2027,08/2027,942.0,942.0,356.0,45.0,November 2025,66.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,706844,942.0,942.0,356.0,45.0,37.79193205944799,-7.208067940552013,0.0,0.55,0.0,0,0
655,Ministry of Railways,Railways,Chhapra-Ballia Patch Doubling,North Eastern Railway [NER],705562,,,"Multi-States (Bihar, Uttar Pradesh)",03/2013,,12/2015,02/2025,3.0,2026.0,963.0,1046.0,November 2025,66.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705562,3.0,2026.0,963.0,100.0,47.53208292201382,-52.46791707798618,500.0,1.1,110.0,1,1
654,Ministry of Railways,Railways,Gorakhpur-Valmikinagar Doubling project,NER,617224,,,"Multi-States (Bihar, Uttar Pradesh)",08/2023,,03/2024,12/2027,1120.0,1120.0,269.67,26.0,November 2025,66.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,617224,1120.0,1120.0,269.67,26.0,24.077678571428574,-1.9223214285714256,0.0,0.36,45.0,1,0
653,Ministry of Railways,Railways,NER Provision of Automatic Block Signalling on Gorakhpur Cantt[Excl]  Chhapra Gramin & Burhwal Jn [Excl]  Sitapur Jn section of high density routes,North Eastern Railway [NER],611669,,,"Multi-States (Bihar, Uttar Pradesh) NA (",06/2023,,03/2027,,380.47,380.47,24.53,0.0,November 2025,66.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,611669,380.47,380.47,24.53,0.0,6.447288879543722,6.447288879543722,0.0,0.1,0.0,0,0
652,Ministry of Railways,Railways,Pirpainti - Jasidih [100.52 Km] New BG line,Eastern Railway [ER] - I,705385,,,"Multi-States (Bihar, Jharkhand)",03/2014,,03/2022,03/2028,3.0,2028.0,2555.0,2555.0,November 2025,66.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705385,3.0,2028.0,2555.0,100.0,125.9861932938856,25.986193293885606,500.0,1.1,72.0,1,1
651,Ministry of Railways,Railways,Koderma-Tilaiya New Line,East Central Railway [ECR] - I,705375,,,"Multi-States (Bihar, Jharkhand)",11/2004,,03/2002,02/2025,2.0,2026.0,1626.0,2486.62,November 2025,66.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705375,2.0,2026.0,1626.0,100.0,80.25666337611057,-19.743336623889434,500.0,1.1,275.0,1,1
650,Ministry of Railways,Railways,Multi tracking of Son Nagar-Andal 374.53 rkm & 814.38 tkm,East Central Railway [ECR] - I,616699,,,"Multi-States (Bihar, Jharkhand)",08/2023,,08/2023,03/2028,12333.57,12333.6,420.86,13.0,November 2025,66.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,616699,12333.57,12333.6,420.86,13.0,3.412304598819485,-9.587695401180515,0.0002432385756975056,0.23,55.0,1,0
649,Ministry of Railways,Railways,Third Railway Line between Patratu-Sonnagar [281 kms],RVNL - II,400234,,,"Multi-States (Bihar, Jharkhand)",11/2016,,08/2018,03/2026,7.0,2026.0,8975.0,8975.0,November 2025,66.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,400234,7.0,2026.0,8975.0,100.0,300.0,200.0,500.0,1.1,91.0,1,1
648,Ministry of Railways,Railways,New Delhi- Howrah Speed Booster[160Kmph] Project,PCE/NCR,705794,,,"Multi-States (Bihar, Delhi, Jharkhand, Uttar Pradesh, West Bengal)",09/2019,,09/2019,03/2024,6684.81,6684.81,127.03,0.0,November 2025,65.0,FlashReport_November_2025_All_Ongoing_Projects_Structured.csv,2025-11-01,,,705794,6684.81,6684.81,127.03,0.0,1.9002783923552053,1.9002783923552053,0.0,0.1,54.0,1,0
